[INFO ] [2022-08-10 20:13:43,820] Login 1: Step 1 - Click to MyAccount Link 
[INFO ] [2022-08-10 20:13:45,485] Login 1: Step 2 - Input to Email Textbox 
[INFO ] [2022-08-10 20:13:45,782] Login 1: Step 3 - Input to Password Textbox 
[INFO ] [2022-08-10 20:13:46,004] Login 1: Step 4 - Click to login button 
[INFO ] [2022-08-10 20:13:46,519] Login 1: Step 5 - Verify the error message is showing correctly 
[INFO ] [2022-08-10 20:13:46,655] Login 1: Step 6 - Verify the error message is showing correctly
[INFO ] [2022-08-10 20:13:46,839] Login 2: Step 1 - Click to MyAccount Link 
[INFO ] [2022-08-10 20:13:48,181] Login 2: Step 2 - Input to Email Textbox  
[INFO ] [2022-08-10 20:13:48,326] Login 2: Step 3 - Input to Password Textbox  
[INFO ] [2022-08-10 20:13:48,453] Login 2: Step 4 - Click to login button 
[INFO ] [2022-08-10 20:13:48,793] Login 2: Step 5 - Verify the error message is showing correctly 
[INFO ] [2022-08-10 20:13:48,819] Login 3: Step 1 - Click to MyAccount Link 
[INFO ] [2022-08-10 20:13:50,082] Login 3: Step 2 - Input to Email Textbox  
[INFO ] [2022-08-10 20:13:50,214] Login 3: Step 3 - Input to Password Textbox  
[INFO ] [2022-08-10 20:13:50,351] Login 3: Step 4 - Click to login button 
[INFO ] [2022-08-10 20:13:52,060] Login 3: Step 5 - Verify the error message is showing correctly 
[INFO ] [2022-08-10 20:13:52,078] Login 4: Step 1 - Click to MyAccount Link 
[INFO ] [2022-08-10 20:13:53,331] Login 4: Step 2 - Input to Email Textbox  
[INFO ] [2022-08-10 20:13:53,440] Login 4: Step 3 - Input to Password Textbox  
[INFO ] [2022-08-10 20:13:53,533] Login 4: Step 4 - Click to login button 
[INFO ] [2022-08-10 20:13:54,263] Login 4: Step 5 - Verify the error message is showing correctly 
[INFO ] [2022-08-10 20:13:54,290] Login 5: Step 1 - Click to MyAccount Link 
[INFO ] [2022-08-10 20:13:55,534] Login 5: Step 2 - Input to Email Textbox  
[INFO ] [2022-08-10 20:13:55,633] Login 5: Step 3 - Input to Password Textbox  
[INFO ] [2022-08-10 20:13:55,706] Login 5: Step 4 - Click to login button 
[INFO ] [2022-08-10 20:13:57,248] Login 5: Step 5 - Verify the error message is showing correctly 
[INFO ] [2022-08-10 20:13:57,266] Login 6: Step 1 - Click to MyAccount Link 
[INFO ] [2022-08-10 20:13:58,524] Login 6: Step 2 - Input to Email Textbox  
[INFO ] [2022-08-10 20:13:58,624] Login 6: Step 3 - Input to Password Textbox  
[INFO ] [2022-08-10 20:13:58,710] Login 6: Step 4 - Click to login button 
[INFO ] [2022-08-10 20:14:00,363] Login 6: Step 5 - Verify the error message is showing correctly 
[INFO ] [2022-08-10 20:28:36,894] Login 1: Step 1 - Click to MyAccount Link 
[INFO ] [2022-08-10 20:28:38,025] Login 1: Step 2 - Input to Email Textbox 
[INFO ] [2022-08-10 20:28:38,141] Login 1: Step 3 - Input to Password Textbox 
[INFO ] [2022-08-10 20:28:38,239] Login 1: Step 4 - Click to login button 
[INFO ] [2022-08-10 20:28:38,604] Login 1: Step 5 - Verify the error message is showing correctly 
[INFO ] [2022-08-10 20:28:38,835] --------------------Failed-------------------
[INFO ] [2022-08-10 20:28:38,836] Login 1: Step 6 - Verify the error message is showing correctly
[INFO ] [2022-08-10 20:28:38,985] --------------------Passed-------------------
[INFO ] [2022-08-10 20:28:38,993] Login 2: Step 1 - Click to MyAccount Link 
[INFO ] [2022-08-10 20:28:40,833] Login 2: Step 2 - Input to Email Textbox  
[INFO ] [2022-08-10 20:28:40,990] Login 2: Step 3 - Input to Password Textbox  
[INFO ] [2022-08-10 20:28:41,153] Login 2: Step 4 - Click to login button 
[INFO ] [2022-08-10 20:28:41,580] Login 2: Step 5 - Verify the error message is showing correctly 
[INFO ] [2022-08-10 20:28:41,656] --------------------Failed-------------------
[INFO ] [2022-08-10 20:28:41,662] Login 3: Step 1 - Click to MyAccount Link 
[INFO ] [2022-08-10 20:28:42,754] Login 3: Step 2 - Input to Email Textbox  
[INFO ] [2022-08-10 20:28:42,834] Login 3: Step 3 - Input to Password Textbox  
[INFO ] [2022-08-10 20:28:42,953] Login 3: Step 4 - Click to login button 
[INFO ] [2022-08-10 20:28:44,262] Login 3: Step 5 - Verify the error message is showing correctly 
[INFO ] [2022-08-10 20:28:44,284] --------------------Passed-------------------
[INFO ] [2022-08-10 20:28:44,286] Login 4: Step 1 - Click to MyAccount Link 
[INFO ] [2022-08-10 20:28:45,202] Login 4: Step 2 - Input to Email Textbox  
[INFO ] [2022-08-10 20:28:45,278] Login 4: Step 3 - Input to Password Textbox  
[INFO ] [2022-08-10 20:28:45,368] Login 4: Step 4 - Click to login button 
[INFO ] [2022-08-10 20:28:45,645] Login 4: Step 5 - Verify the error message is showing correctly 
[INFO ] [2022-08-10 20:28:45,665] --------------------Passed-------------------
[INFO ] [2022-08-10 20:28:45,667] Login 5: Step 1 - Click to MyAccount Link 
[INFO ] [2022-08-10 20:28:46,591] Login 5: Step 2 - Input to Email Textbox  
[INFO ] [2022-08-10 20:28:46,688] Login 5: Step 3 - Input to Password Textbox  
[INFO ] [2022-08-10 20:28:46,785] Login 5: Step 4 - Click to login button 
